model;kms;img;title;link;price;year;maker;cc;type
2015;7500;http://mco-s1-p.mlstatic.com/yamaha-r3-deportiva-barata-ganga-nueva-buena-economica-azul-766221-MCO20739999682_052016-O.jpg;Yamaha R3 Deportiva Barata Ganga Nueva Buena Economica Azul;http://articulo.tumoto.com.co/MCO-423503038-yamaha-r3-deportiva-barata-ganga-nueva-buena-economica-azul-_JM; 16700000;2015;Yamaha;251 cc - 500 cc;Deportivas / Naked
Fazer 150;59000;http://mco-s2-p.mlstatic.com/yamaha-fazer-150-126-cc-250-cc-408221-MCO20741727596_052016-O.jpg;Yamaha Fazer 150 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423565429-yamaha-fazer-150-126-cc-250-cc-_JM; 4500000;2012;Yamaha;126 cc - 250 cc;De Calle
YFM700;5000;http://mco-s2-p.mlstatic.com/yamaha-yfm700-501-cc-o-mas-688221-MCO20737161197_052016-O.jpg;Yamaha Yfm700 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423423068-yamaha-yfm700-501-cc-o-mas-_JM; 19900000;2008;Yamaha;501 cc o más;Cuatriciclos y Triciclos
SZR 153cc;24000;http://mco-s2-p.mlstatic.com/yamaha-szr-153cc-126-cc-250-cc-813321-MCO20736075391_052016-O.jpg;Yamaha Szr 153cc 126 Cc - 250 Cc;http://articulo.tumoto.com.co/MCO-423396508-yamaha-szr-153cc-126-cc-250-cc-_JM; 3600000;2014;Yamaha;126 cc - 250 cc;De Calle
FZ1-S;41000;http://mco-s2-p.mlstatic.com/yamaha-fz1-s-501-cc-o-mas-856221-MCO20741530623_052016-O.jpg;Yamaha Fz1-s 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423554912-yamaha-fz1-s-501-cc-o-mas-_JM; 25500000;2010;Yamaha;501 cc o más;Deportivas / Naked
XT 600;10000;http://mco-s2-p.mlstatic.com/yamaha-xt-600-501-cc-o-mas-725221-MCO20735471597_052016-O.jpg;Yamaha Xt 600 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423376063-yamaha-xt-600-501-cc-o-mas-_JM; 9400000;2003;Yamaha;501 cc o más;Enduro, Cross y Trial
TRICITY 125;5150;http://mco-s1-p.mlstatic.com/yamaha-tricity-125-051-cc-125-cc-821321-MCO20736953824_052016-O.jpg;Yamaha Tricity 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423418594-yamaha-tricity-125-051-cc-125-cc-_JM; 10500000;2015;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
XT-660 R ;25500;http://mco-s1-p.mlstatic.com/yamaha-501-cc-o-mas-2014-820321-MCO20737920293_052016-O.jpg;Yamaha 501 Cc O Más 2014;http://articulo.tumoto.com.co/MCO-423440721-yamaha-501-cc-o-mas-2014-_JM; 20500000;2014;Yamaha;501 cc o más;Otros Tipos
2016;3533;http://mco-s2-p.mlstatic.com/yamaha-2016-501-cc-o-mas-989221-MCO20734628004_052016-O.jpg;Yamaha 2016 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423357850-yamaha-2016-501-cc-o-mas-_JM; 43000000;2017;Yamaha;501 cc o más;Deportivas / Naked
BWS;2000;http://mco-s1-p.mlstatic.com/yamaha-bws-051-cc-125-cc-539221-MCO20734656889_052016-O.jpg;Yamaha Bws 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423358127-yamaha-bws-051-cc-125-cc-_JM; 7000000;2014;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
BWS 125;8000;http://mco-s1-p.mlstatic.com/yamaha-bws-125-051-cc-125-cc-878221-MCO20736949949_052016-O.jpg;Yamaha Bws 125 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423418543-yamaha-bws-125-051-cc-125-cc-_JM; 6600000;2015;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
LIBERO 125;5500;http://mco-s2-p.mlstatic.com/yamaha-libero-125-remolque-272321-MCO20733480025_052016-O.jpg;Yamaha Libero 125 Remolque;http://articulo.tumoto.com.co/MCO-423322133-yamaha-libero-125-remolque-_JM; 5600000;2015;Yamaha;051 cc - 125 cc;De Calle
BWS;25000;http://mco-s2-p.mlstatic.com/yamaha-bws-2015-051-cc-125-cc-729221-MCO20737226195_052016-O.jpg;Yamaha Bws 2015 051 Cc - 125 Cc;http://articulo.tumoto.com.co/MCO-423424359-yamaha-bws-2015-051-cc-125-cc-_JM; 6100000;2015;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
2014;9739;http://mco-s2-p.mlstatic.com/yamaha-bws-2014-9739-km-997221-MCO20739535911_052016-O.jpg;Yamaha Bws 2014 9739 Km;http://articulo.tumoto.com.co/MCO-423488533-yamaha-bws-2014-9739-km-_JM; 6000000;2014;Yamaha;051 cc - 125 cc;Scooters y Ciclomotores
XT 660 R;36000;http://mco-s2-p.mlstatic.com/yamaha-xt-660-r-501-cc-o-mas-199221-MCO20737383343_052016-O.jpg;Yamaha Xt 660 R 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423426641-yamaha-xt-660-r-501-cc-o-mas-_JM; 20500000;2015;Yamaha;501 cc o más;Enduro, Cross y Trial
2007;37000;http://mco-s2-p.mlstatic.com/fazer-1000-naked-308221-MCO20742178709_052016-O.jpg;Fazer 1.000 Naked;http://articulo.tumoto.com.co/MCO-423577936-fazer-1000-naked-_JM; 19500000;2007;Yamaha;501 cc o más;Deportivas / Naked
XJ6 600cc;23000;http://mco-s2-p.mlstatic.com/yamaha-xj6-600cc-501-cc-o-mas-598221-MCO20737932797_052016-O.jpg;Yamaha Xj6 600cc 501 Cc O Más;http://articulo.tumoto.com.co/MCO-423440867-yamaha-xj6-600cc-501-cc-o-mas-_JM; 19500000;2011;Yamaha;501 cc o más;Deportivas / Naked
